id,name,location,tax_number
1,Логинов и партнеры,"п. Чебаркуль, ул. Каштановая, д. 665, 525035",28855894167730
2,Самсунг Электроникс Рус Калуга (Samsung),"д. Назрань, пер. Ломоносова, д. 63 к. 72, 003886",191973716550751
3,Robinson and Sons,"п. Мирный, ш. Кошевого, д. 9/8, 830830",191633295486081
4,Olson Group,"ст. Балашиха, наб. Мая 1, д. 5, 450612",833883753287799
5,ИП «Рябова Жукова»,"PSC 3949, Box 0570
APO AA 48101",114194616889785
6,АО «Панфилова-Кононова»,"г. Фатеж, пр. Лазо, д. 90 стр. 8/6, 047512",258341044281476
7,НПО «Никонов-Власов»,"118 Christina Flats
Huntermouth, AK 73945",462800204625533
8,Zuniga-Rojas,"ст. Нязепетровск, пр. Восточный, д. 292 стр. 931, 326446",475364985704391
9,Key-Cooper,"Unit 1164 Box 8140
DPO AA 34281",68795553331421
10,Miller-Washington,"61488 Greene Land
South Kimberlystad, IA 86096",824785463378582
